title,genre,episodes,score,img_url
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","['Slice of Life', 'Comedy']",12.0,7.86,https://cdn.myanimelist.net/images/anime/1251/99191.jpg
Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",54.0,7.86,https://cdn.myanimelist.net/images/anime/10/11070.jpg
Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']",3.0,7.86,https://cdn.myanimelist.net/images/anime/10/79674.jpg
Detective Conan OVA 10: Kid in Trap Island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",1.0,7.86,https://cdn.myanimelist.net/images/anime/7/23698.jpg
Bungou Stray Dogs: Dead Apple,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",1.0,7.86,https://cdn.myanimelist.net/images/anime/1127/93981.jpg
Asagao to Kase-san.,"['Romance', 'School', 'Shoujo Ai']",1.0,7.86,https://cdn.myanimelist.net/images/anime/1578/94205.jpg
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']",8.0,7.86,https://cdn.myanimelist.net/images/anime/1807/96939.jpg
Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']",21.0,7.87,https://cdn.myanimelist.net/images/anime/4/87461.jpg
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",26.0,7.87,https://cdn.myanimelist.net/images/anime/7/84463.jpg
Transformers the Movie,"['Action', 'Mecha']",1.0,7.87,https://cdn.myanimelist.net/images/anime/2/30339.jpg
Toshokan Sensou: Kakumei no Tsubasa,"['Action', 'Comedy', 'Military', 'Romance']",1.0,7.87,https://cdn.myanimelist.net/images/anime/9/39273.jpg
Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']",12.0,7.87,https://cdn.myanimelist.net/images/anime/1258/102849.jpg
Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",12.0,7.87,https://cdn.myanimelist.net/images/anime/7/80636.jpg
Manga de Wakaru! Fate/Grand Order,['Comedy'],1.0,7.87,https://cdn.myanimelist.net/images/anime/1830/98102.jpg
Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",1.0,7.87,https://cdn.myanimelist.net/images/anime/2/22582.jpg
Last Exile,"['Action', 'Sci-Fi', 'Adventure']",26.0,7.87,https://cdn.myanimelist.net/images/anime/7/10888.jpg
Koukaku Kidoutai 2: Innocence,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",1.0,7.87,https://cdn.myanimelist.net/images/anime/10/75628.jpg
Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']",49.0,7.87,https://cdn.myanimelist.net/images/anime/2/25915.jpg
Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']",13.0,7.87,https://cdn.myanimelist.net/images/anime/11/10894.jpg
Ginga Tetsudou 999,"['Sci-Fi', 'Adventure', 'Space', 'Drama']",113.0,7.87,https://cdn.myanimelist.net/images/anime/7/27801.jpg
Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']",25.0,7.87,https://cdn.myanimelist.net/images/anime/7/51815.jpg
Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']",25.0,7.87,https://cdn.myanimelist.net/images/anime/11/73908.jpg
Gakuen Babysitters,"['Comedy', 'School', 'Shoujo', 'Slice of Life']",12.0,7.87,https://cdn.myanimelist.net/images/anime/8/89978.jpg
Detective Conan Movie 23: The Fist of Blue Sapphire,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",1.0,7.87,https://cdn.myanimelist.net/images/anime/1010/98309.jpg
Bleach,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",366.0,7.87,https://cdn.myanimelist.net/images/anime/3/40451.jpg
Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",12.0,7.87,https://cdn.myanimelist.net/images/anime/10/75764.jpg
91 Days,"['Action', 'Drama', 'Historical']",12.0,7.87,https://cdn.myanimelist.net/images/anime/13/80515.jpg
Wolf's Rain,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",26.0,7.88,https://cdn.myanimelist.net/images/anime/5/59403.jpg
Tentai Senshi Sunred,"['Comedy', 'Parody', 'Super Power', 'Seinen']",26.0,7.88,https://cdn.myanimelist.net/images/anime/11/11740.jpg
Shingeki no Kyojin OVA,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",3.0,7.88,https://cdn.myanimelist.net/images/anime/9/59221.jpg
Maria-sama ga Miteru 4th,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']",13.0,7.88,https://cdn.myanimelist.net/images/anime/4/75206.jpg
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"['Action', 'Mystery', 'Supernatural', 'Drama']",8.0,7.88,https://cdn.myanimelist.net/images/anime/12/81588.jpg
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']",1.0,7.88,https://cdn.myanimelist.net/images/anime/1649/98516.jpg
Karakai Jouzu no Takagi-san,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']",12.0,7.88,https://cdn.myanimelist.net/images/anime/1591/95091.jpg
Junjou Romantica,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",12.0,7.88,https://cdn.myanimelist.net/images/anime/7/8811.jpg
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Action', 'Fantasy', 'Magic', 'Supernatural']",21.0,7.88,https://cdn.myanimelist.net/images/anime/1194/103420.jpg
Emiya-san Chi no Kyou no Gohan,"['Slice of Life', 'Comedy']",13.0,7.88,https://cdn.myanimelist.net/images/anime/8/89981.jpg
Charlotte,"['Drama', 'School', 'Super Power']",13.0,7.88,https://cdn.myanimelist.net/images/anime/12/74683.jpg
